text
### 【戦闘・スペシャル編】

スペシャルは　出し惜しみせず　まず１つ
カニタンク　なぜか背中に　オオモノ集合
ジェットパック　最高の的と　カモネギ発動
ナイスダマ　溜めている間に　全員ウキワ
ホップソナー　置いた途端に　誰も来ない
ザコシャケも　インク切れなら　オオモノに勝る
モグラ潜る　そこは地獄の　テッキュウ砲台
コウモリの　弾を打ち返す　それがアート
カタパッド　ボムをケチると　地獄を見る
タワーはな　遠いからこそ　最優先
テッパンの　止まる瞬間　背中を見せろ
ハシラの　コジャケを狙え　本体を狙うな
ダイバーの　リングを塗るは　戦いの基本
ヘビが来た　全員一斉　ターゲット変更
バクダンは　倒した後に　誰も拾わず
納品中　背後に忍び寄る　タワーの音
射程勝ち　高台から撃つ　タワーとカタパ
ボム投げの　残量管理が　バイトのプロ
干潮は　オオモノ処理と　納品のスピード勝負
ラッシュの金網　逃げ場のないのが　逃げ場なり
グリルはな　誘導こそが　最大の武器
ハコビヤの　箱を壊せば　勝利の音色
霧が晴れた　そこに立っている　オオモノの群れ
キンシャケ　カンケツセンの　光を信じろ
ドスコイの　群れをなすなら　迷わずスペシャル
テッパンの　誘導ミスが　全滅の引き金
ハシラはな　倒すより先に　コジャケを掃除
モグラを待つ　その間に処理すべき　遠くのオオモノ
ボム不足　それはインクの　浪費の結果
ザコシャケの　処理を怠れば　全てが遅れる
インク切れ　そこで慌てては　すべてが終了
トルネード　ナイス玉に変わる　奇跡を願う
サメライド　使い所はな　デス回避
クマサン印　持ったら責任　イクラを運べ
テッキュウ砲　イクラを投げ込む　それが最適解
コウモリの　弾をはじいて　ナイスと叫ぶ
カタパは　遠くからでも　届くボムを
金イクラ　３つ持ちが　最も美しい
バクダンは　確実に仕留めろ　後回し厳禁
柱上の　コジャケを一掃　それが仕事
モグラを狙う　カゴの近くに　誘導せよ
ハシラはな　倒すとコジャケも　全て消える
ダイバーは　リングを塗らずに　本体を叩くな
ヘビはな　誘導しては　カゴの近く
タワーを　倒す喜び　それは無双
テッキュウの　砲台破壊　それが遠征の目的
グリルは　背中を見せるまで　仲間と待て
ラッシュは　金網の上で　耐え忍ぶ
霧の日は　音を頼りに　オオモノを追え
カンケツセン　光が強ければ　キンシャケは近い
タツマキの　イクラは投げて　ゴールを狙え
ハコビヤの　箱を壊して　イクラを確保
ドロシャケに　ボムを投げ込めば　金イクラを吐く
金シャケの　光を追うな　影を狙え
オカシラシャケ　倒せる時は　必ず倒せ
オカシラは　火力集中　それが鉄則
ボムを　投げるその間に　インクは回復
インク切れ　そこで初めて　スペシャルを使え
スペシャルは　使った後に　後悔するな
スペシャルは　クリアのために　使え
ナイスダマ　ナイスが来たら　さらに溜まる
カニタンク　高台から撃てば　無敵の砲台
ジェットパック　空から降らす　インクの雨
ホップソナー　置けばウキワも　復活可能
トルネード　カタパットに投げ　両翼破壊
サメライド　デス回避に　使える最終兵器
ザコシャケも　油断すると　命取りになる
ドスコイの　群れに突っ込むな　インクを無駄にする
モグラの　インク回復　有効活用
テッパンを　誘導しては　カゴの守護神
カタパット　片翼残しは　後で泣くぞ
テッキュウ砲　遠くのイクラを　カゴへ運ぶ
タワーを　倒す瞬間　カメラを回せ
納品後の　インク残量　意識して動け
ドロシャケ　金イクラが出るまで　ボムを投入
金イクラ　３つ持ちが　最も美しい
シャケの攻撃　全て回避してこそ　バイトの達人
オカシラシャケ　倒せる時は　必ず倒せ
クマサン印　持ったら責任　イクラを運べ
ヘリコプター　通過時の　インクを確保
満潮の　ハシラコジャケ　優先度高し
納品箱の　上に立つな　迷惑行為
クリアした　後の評価　それが全て
カンストは　諦めない心と　運で掴む
野良の結束　伝説帯で　夢を見る
毎日の　バイトに感謝　それが社畜
サーモンラン　それは人生の　縮図なり

### 【納品・立ち回り編】

コンテナ周り　納品しなきゃ　ただの荒野
倒したその場が　一番遠い　テッキュウ砲台
タツマキ　イクラ投げの　腕が試される
納品数　見てから納品　キケン度で安心
金イクラ　拾わず放置は　罪の味
カゴ前で　味方の邪魔をするな　それがマナー
イクラ投げ　納品のために　インクを使え
スペシャルより　インク回復を　優先せよ
高台は　孤独な闘い　救援を待て
味方と合流　それは生存率を　高める秘訣
納品優先　オオモノ処理は　その後でいい
一発逆転を　狙った納品　大抵失敗
納品間際　焦りが生むは　ダイバーのリング
デスした場所　イクラを回収　それが義理
カゴの音　聞こえたらすぐに　振り向け、納品
干潮時　納品ルートを　常に考えろ
遠くのイクラ　今は諦め　近くを処理せよ
イクラ投げ　届かなきゃ意味がない　精度を高めよ
満潮は　納品スピード　何より大事
残り10秒　納品数と　自分の位置を確認
シャケの群れ　倒すのはいいが　イクラは運べ
全員が　同じ場所を狙う　イクラは増えない
コンテナの　周りをきれいに　それが鉄則
イクラを運ぶ　その背中を　誰かが守る
デスした時　ヘルプを連打　それが仕事
納品ノルマ　達成間近　焦りは禁物
満潮時　高台は最高の　避難場所
イクラ投げ　届かないなら　諦めも肝心
一人で納品　二人で納品　その差は大きい
コンテナ前　倒したオオモノ　勝利の確信
納品が遅いのは　イクラ投げが　足りない証拠
遠征は　計画的に　イクラはまとめて運べ
納品と処理　両方できてこそ　一人前
金イクラが　落ちてる場所を　常に記憶せよ
オオモノは　カゴに近づけてから　倒せ
インク切れ　センプクして　体勢を立て直せ
塗りは命　壁を塗らなきゃ　逃げ場はない
味方の　ピンチは　自分のピンチ
納品ボーナス　それが次の　WAVEへの希望
満潮は　ステージが狭い　処理優先
干潮は　遠征しても　納品は早く
イクラを　運ぶ喜び　それは貢献
遠征組　納品が遅いと　戦犯になる
カゴ前で　待ってる味方は　イライラMAX
納品ゼロ　それはやる気の　問題だ
ノルマ達成　残り１個の　プレッシャー
イクラ投げ　味方のウキワにも　届けてやれ
ウキワでも　カモンで位置を　知らせてやれ
納品を　急ぐあまり　デスをするな
金イクラは　時間とともに　消えていく
遠征は　オオモノを倒す　ついでに納品
納品ルート　塗り返されたら　もう一度塗る
カゴ前で　納品するのは　短射程の仕事
長射程は　遠くで処理し　イクラを投げろ
一人で　全てを背負うな　それがチーム
WAVE３　ラスト３０秒　全員納品
WAVE２　ノルマ達成　WAVE３への余裕
納品を　優先しすぎて　オオモノを放置するな
カゴ前で　オオモノを倒せば　神バイト
イクラを　投げる距離感　体に覚えさせろ
満潮時　テッパン誘導　それが神業
テッキュウ砲　納品のために　全てを使え
ナベブタは　バリアの外から　倒せ
ダイバーの　リングは　優先して塗れ
ヘビは　誘導して　仲間に任せろ
ハシラの　コジャケは　ボムで一掃
バクダンは　一撃で倒せ　それが鉄則
タワーは　放置すると　地獄を見る
カタパは　遠くからでも　必ず仕留めろ
テッパンは　動きを止めて　後ろから叩け
モグラは　カゴに近づくまで　待て
ラッシュは　金網の上で　仲間と固まれ
グリルの　誘導は　一人でやれ
霧の日は　仲間とはぐれるな　それがデス
カンケツセン　光を信じ　キンシャケを追い込め
タツマキは　イクラ投げで　ノルマ達成
ハコビヤは　箱を壊して　イクラを回収
